logFC	AveExpr	t	P.Value	adj.P.Val	B
Lars	-0.54927064315687	4.97984795587749	-18.3867650971645	7.83503417839354e-24	6.66681049256384e-22	43.9717760870896
Phospho2	0.519147891895338	4.62187849675062	18.3517992370038	8.51115407153884e-24	7.19599102838258e-22	43.9034160292006
Gm15889	2.71997393869272	0.574593404244559	18.4658204910182	6.50061432310693e-24	5.71451354469678e-22	43.8671749509127
Wwox	-0.604672998604996	3.35453961508671	-18.2956310991951	9.72391065625711e-24	8.11793648120484e-22	43.8495300534489
Ugt2b35	-0.861498299066345	8.03770647497632	-18.3182159136667	9.216434377531e-24	7.74297151438902e-22	43.7948675577264
Gm15459	1.47929999509991	5.05464914419841	18.2847377637857	9.97875419996697e-24	8.22720392859388e-22	43.7826641170029
Zfp180	0.628110919597745	4.06722302377187	18.2854504735529	9.96187492734034e-24	8.22720392859388e-22	43.7784905884657
A230050P20Rik	-0.826993262416895	3.83586241654092	-18.263002780475	1.05077246721771e-23	8.60984798138756e-22	43.7427939676566
Pbxip1	-0.508380217096465	3.72318175098862	-18.2600815991127	1.05809609565428e-23	8.61666722313795e-22	43.7404185598032
Akap8l	0.751141376212277	3.49998479758731	18.2178818098725	1.1698792385499e-23	9.43989789762228e-22	43.6557255947981
Fras1	-0.969051145187351	2.56009536987006	-18.1712683005542	1.30739361644114e-23	1.02688419317394e-21	43.5892900198672
Pde4b	-1.17207233554443	3.95719658703913	-18.1863163699937	1.26129007273094e-23	1.00240911869626e-21	43.5566826768427
Tgoln1	0.561933622610599	7.79236368416864	18.1894761445387	1.25182130425017e-23	1.00100457786848e-21	43.4829553046422
Tm4sf1	-0.909687125660045	2.7230199120537	-18.1228729634208	1.46762194346447e-23	1.13925226184488e-21	43.4698102883797
Srsf2	-0.730660781123782	6.10649104806432	-18.1838666632071	1.26868112054371e-23	1.00240911869626e-21	43.4628199193193
Apba3	0.551410831627507	4.63609366920003	18.1481655758955	1.38153506616959e-23	1.07873508637266e-21	43.4154488981372
Trim65	0.730891362718831	3.10366462134242	18.1071160146849	1.52399228155168e-23	1.16933373094318e-21	43.4146763413418
Cct4	0.37626601212431	6.76125571813216	18.1132262290637	1.50187616137365e-23	1.15906419570197e-21	43.2901232542088
Pitpnb	-0.279093899268518	6.43742494782448	-18.0978384636236	1.55820783022865e-23	1.18871555968133e-21	43.2526672952674
Rundc1	0.451893411182518	3.48289428581838	18.0265566572101	1.84856449330448e-23	1.40216257623564e-21	43.1960316845471
1110002L01Rik	0.994769610267553	2.07803895612333	17.9939090683139	1.99938095928245e-23	1.50794220758609e-21	43.1642858932505
1700092C10Rik	-2.06666979175199	-1.18267056946424	-18.6961719789018	3.78585433724269e-24	3.51422590717199e-22	43.0844316361845
Dhx32	-0.419491469964379	4.92759724723806	-17.9681778856665	2.12702644210048e-23	1.59514966058993e-21	42.9672076638788
mt-Rnr2	1.07451932727942	10.096560591516	17.9431993669887	2.25887006703214e-23	1.6750972776416e-21	42.9207881862653
Kyat3	0.598095554042086	7.49018268424706	17.9475176450253	2.23549651952307e-23	1.66707757304209e-21	42.8952143830043
Zbtb16	2.47671585307566	2.93195252539197	17.878025721035	2.64341595405386e-23	1.94937240967283e-21	42.8864426287491
Samd1	0.928653430365097	2.74739304989564	17.8382110234097	2.910480187004e-23	2.08830886498871e-21	42.7865011239744
Tubgcp2	-0.528629552699188	3.45447201848906	-17.8460893223983	2.85553990445946e-23	2.06002373324972e-21	42.762841230071
Srxn1	-0.527547955181512	5.221303854664	-17.8683508673705	2.70592818872923e-23	1.98444700426474e-21	42.7147091329372
Lrtm1	-1.78211255404977	3.18736009172281	-17.81509836297	3.07794448285876e-23	2.19659328308963e-21	42.7138501412728
Ddx46	-0.669737833136575	5.16405759153843	-17.8471335310369	2.8483375783612e-23	2.06002373324972e-21	42.6665364483209
Tes	1.67796126580724	0.86467468005321	17.8549133275099	2.795255529367e-23	2.03869351081415e-21	42.648581879088
Whamm	-0.508319693827148	5.15428461383209	-17.7984368692383	3.2047178174462e-23	2.27483552453374e-21	42.5458418088516
Brd9	-0.542557677114653	2.68271061461697	-17.723635098163	3.8426872722022e-23	2.67056706027288e-21	42.5102633460022
Hspd1	0.376070239480251	8.81721271747816	17.7817701970297	3.33684718572982e-23	2.35602710337115e-21	42.5093272680493
Impg2	-0.988773418728555	1.69223285632098	-17.6983873365027	4.08604031781013e-23	2.78144098351855e-21	42.43711918964
Slc30a5	0.441936879891009	5.63968933754312	17.758291110233	3.53244479499589e-23	2.48093503750135e-21	42.4349191657913
Slc44a3	-0.604534849631015	3.49314206887497	-17.7114175777008	3.95855019465553e-23	2.73676017103424e-21	42.4329685360143
Acot1	1.47274403333496	3.51655832501564	17.7078003062834	3.99353110381071e-23	2.74663895709758e-21	42.4326405277063
Mavs	0.420879148903666	6.58308051382298	17.7516119597007	3.59018928650921e-23	2.50821960995386e-21	42.4113908383836
Rbmx	-0.672172535296303	3.11211672626262	-17.6735200720238	4.34105801486008e-23	2.93995939230881e-21	42.3669297765631
Mex3c	0.442793137425145	4.3544920729696	17.7047654542614	4.02312215251747e-23	2.75272801301633e-21	42.354891950072
Lpin3	-0.669168638982842	2.03732399807852	-17.6318315045327	4.80546004198804e-23	3.20541088428891e-21	42.2946056510268
Tdp2	-0.510717013723725	4.3806705785494	-17.6694084857503	4.38475675776666e-23	2.9544802640911e-21	42.2676288040439
Cenpb	-0.424201516318049	6.20600935496629	-17.6565557196218	4.52426528693508e-23	3.03308572822103e-21	42.1794709633206
Rbm12b1	1.01303940736886	1.33402656544758	17.5958921886317	5.24624197079172e-23	3.43047369065465e-21	42.1486727269242
Slc35c1	0.466613728762743	4.16502805957751	17.6034811744913	5.1498613148914e-23	3.40095816387405e-21	42.1191783850496
Slc1a4	-1.26460654965688	2.23039590622214	-17.5576895623915	5.76002246722024e-23	3.69364918984935e-21	42.1167754306476
Txnrd3	-0.533022156065644	3.22913932034619	-17.5707528393008	5.57881742589166e-23	3.59885690098075e-21	42.1071289726691
St3gal5	1.36087008202589	6.47725796553507	17.6204497995398	4.94082003493436e-23	3.27922225718593e-21	42.0932203745915
Gm12265	-1.37911929612679	1.0634194978325	-17.5900781268302	5.32132050153622e-23	3.46251021261724e-21	42.0773056504677
Arl2bp	-1.01541970085395	2.14037614709425	-17.5310254330937	6.14869371392398e-23	3.92393078647245e-21	42.0515698098774
Eif4a2	0.440670650913301	7.79812737493931	17.5962708415464	5.24138985028667e-23	3.43047369065465e-21	42.0397453966296
Nadsyn1	-0.393709038068554	4.22788826448689	-17.5702936548554	5.58508755161996e-23	3.59885690098075e-21	42.0331457768332
Usp28	-0.601534247858925	3.05318973989988	-17.5031530176688	6.58355064457282e-23	4.14170859033458e-21	41.9532706462652
Hmgb3	-0.650616045242545	2.47173112809375	-17.4766856936475	7.02543518571835e-23	4.37819843451763e-21	41.9159092487555
Casp3	-0.467264576931742	4.95343020368127	-17.5269848494608	6.20987656918881e-23	3.94401442963695e-21	41.887386798841
Calm2	-0.40031826566161	6.76813756265632	-17.5139732685789	6.41113875492897e-23	4.05245027775843e-21	41.8271629964281
Gm15998	-1.76886832669772	0.899270430922398	-17.4910321457779	6.78229490487856e-23	4.24661238525274e-21	41.790282140322
Anapc4	-0.595279018372226	3.9646686784053	-17.4613499169448	7.29515832408925e-23	4.52153068704875e-21	41.7846137800803
Hist1h4i	1.14921543147762	0.851961143047741	17.4597688498618	7.32355806626097e-23	4.52153068704875e-21	41.7615413146653
Lbhd1	0.709878057655709	1.62477532849704	17.4130132975773	8.21622960400999e-23	5.02590929786307e-21	41.7429853203072
Scamp5	-0.542243904926677	4.17411127696774	-17.4285532975184	7.90787722094617e-23	4.85968343661294e-21	41.6891816906397
Insig1	-1.01263881430069	8.52364245958188	-17.3822318609014	8.86360546704709e-23	5.37344744725403e-21	41.5208800706976
Ttll8	2.89233196824255	-1.63402785632947	18.216617021025	1.17340903503667e-23	9.43989789762228e-22	41.5175018662656
Thrap3	-0.455716211020269	5.42558024690101	-17.3821525788927	8.8653381870471e-23	5.37344744725403e-21	41.5128763096329
Trmt6	-0.604175585429732	3.61611533705619	-17.3399925386736	9.83733784339967e-23	5.90863450376865e-21	41.5104015280921
Gm15318	-1.09836271494375	2.68966423634004	-17.3074903163593	1.06601651403547e-22	6.28902364769192e-21	41.4945058869519
Scara5	1.71254552581041	4.1580831662679	17.3248082977608	1.02133861236879e-22	6.0572971529686e-21	41.4503545322709
Snx4	-0.319655859728301	4.97470006625929	-17.3511808157034	9.56928624129126e-23	5.77375934395001e-21	41.4498476700482
Igsf11	-0.517447772755272	4.52059689286605	-17.3349023330181	9.96180537296238e-23	5.95644164507669e-21	41.4365163643174
Tmem63a	-0.438815679348786	4.12664626026559	-17.3244772352742	1.02217459866277e-22	6.0572971529686e-21	41.4330874120121
Trub2	-0.787314257549593	2.94384985295396	-17.2430252150527	1.25054045079254e-22	7.24876591433197e-21	41.3193794926257
Cbfb	0.6065352288888	4.38968068314495	17.2700412260376	1.16954964220901e-22	6.83903169633585e-21	41.2804084027195
